,Effective Date,Change% points,Cash rate target %,Related Documents
0,7 Aug 2024,0.00,4.35,Statement  Minutes
1,19 Jun 2024,0.00,4.35,Statement  Minutes
2,8 May 2024,0.00,4.35,Statement  Minutes
3,20 Mar 2024,0.00,4.35,Statement  Minutes
4,7 Feb 2024,0.00,4.35,Statement  Minutes
5,6 Dec 2023,0.00,4.35,Statement  Minutes
6,8 Nov 2023,+0.25,4.35,Statement  Minutes
7,4 Oct 2023,0.00,4.10,Statement  Minutes
8,6 Sep 2023,0.00,4.10,Statement  Minutes
9,2 Aug 2023,0.00,4.10,Statement  Minutes
10,5 Jul 2023,0.00,4.10,Statement  Minutes
11,7 Jun 2023,+0.25,4.10,Statement  Minutes
12,3 May 2023,+0.25,3.85,Statement  Minutes
13,5 Apr 2023,0.00,3.60,Statement  Minutes
14,8 Mar 2023,+0.25,3.60,Statement  Minutes
15,8 Feb 2023,+0.25,3.35,Statement  Minutes
16,7 Dec 2022,+0.25,3.10,Statement  Minutes
17,2 Nov 2022,+0.25,2.85,Statement  Minutes
18,5 Oct 2022,+0.25,2.60,Statement  Minutes
19,7 Sep 2022,+0.50,2.35,Statement  Minutes
20,3 Aug 2022,+0.50,1.85,Statement  Minutes
21,6 Jul 2022,+0.50,1.35,Statement  Minutes
22,8 Jun 2022,+0.50,0.85,Statement  Minutes
23,4 May 2022,+0.25,0.35,Statement  Minutes
24,6 Apr 2022,0.00,0.10,Statement  Minutes
25,2 Mar 2022,0.00,0.10,Statement  Minutes
26,2 Feb 2022,0.00,0.10,Statement  Minutes
27,8 Dec 2021,0.00,0.10,Statement  Minutes
28,3 Nov 2021,0.00,0.10,Statement  Minutes
29,6 Oct 2021,0.00,0.10,Statement  Minutes
30,8 Sep 2021,0.00,0.10,Statement  Minutes
31,4 Aug 2021,0.00,0.10,Statement  Minutes
32,7 Jul 2021,0.00,0.10,Statement  Minutes
33,2 Jun 2021,0.00,0.10,Statement  Minutes
34,5 May 2021,0.00,0.10,Statement  Minutes
35,7 Apr 2021,0.00,0.10,Statement  Minutes
36,3 Mar 2021,0.00,0.10,Statement  Minutes
37,3 Feb 2021,0.00,0.10,Statement  Minutes
38,2 Dec 2020,0.00,0.10,Statement  Minutes
39,4 Nov 2020,-0.15,0.10,Statement  Minutes
40,7 Oct 2020,0.00,0.25,Statement  Minutes
41,2 Sep 2020,0.00,0.25,Statement  Minutes
42,5 Aug 2020,0.00,0.25,Statement  Minutes
43,8 Jul 2020,0.00,0.25,Statement  Minutes
44,3 Jun 2020,0.00,0.25,Statement  Minutes
45,6 May 2020,0.00,0.25,Statement  Minutes
46,8 Apr 2020,0.00,0.25,Statement  Minutes
47,20 Mar 2020,-0.25,0.25,Statement  Minutes
48,4 Mar 2020,-0.25,0.50,Statement  Minutes
49,5 Feb 2020,0.00,0.75,Statement  Minutes
50,4 Dec 2019,0.00,0.75,Statement  Minutes
51,6 Nov 2019,0.00,0.75,Statement  Minutes
52,2 Oct 2019,-0.25,0.75,Statement  Minutes
53,4 Sep 2019,0.00,1.00,Statement  Minutes
54,7 Aug 2019,0.00,1.00,Statement  Minutes
55,3 Jul 2019,-0.25,1.00,Statement  Minutes
56,5 Jun 2019,-0.25,1.25,Statement  Minutes
57,8 May 2019,0.00,1.50,Statement  Minutes
58,3 Apr 2019,0.00,1.50,Statement  Minutes
59,6 Mar 2019,0.00,1.50,Statement  Minutes
60,6 Feb 2019,0.00,1.50,Statement  Minutes
61,5 Dec 2018,0.00,1.50,Statement  Minutes
62,7 Nov 2018,0.00,1.50,Statement  Minutes
63,3 Oct 2018,0.00,1.50,Statement  Minutes
64,5 Sep 2018,0.00,1.50,Statement  Minutes
65,8 Aug 2018,0.00,1.50,Statement  Minutes
66,4 Jul 2018,0.00,1.50,Statement  Minutes
67,6 Jun 2018,0.00,1.50,Statement  Minutes
68,2 May 2018,0.00,1.50,Statement  Minutes
69,4 Apr 2018,0.00,1.50,Statement  Minutes
70,7 Mar 2018,0.00,1.50,Statement  Minutes
71,7 Feb 2018,0.00,1.50,Statement  Minutes
72,6 Dec 2017,0.00,1.50,Statement  Minutes
73,8 Nov 2017,0.00,1.50,Statement  Minutes
74,4 Oct 2017,0.00,1.50,Statement  Minutes
75,6 Sep 2017,0.00,1.50,Statement  Minutes
76,2 Aug 2017,0.00,1.50,Statement  Minutes
77,5 Jul 2017,0.00,1.50,Statement  Minutes
78,7 Jun 2017,0.00,1.50,Statement  Minutes
79,3 May 2017,0.00,1.50,Statement  Minutes
80,5 Apr 2017,0.00,1.50,Statement  Minutes
81,8 Mar 2017,0.00,1.50,Statement  Minutes
82,8 Feb 2017,0.00,1.50,Statement  Minutes
83,7 Dec 2016,0.00,1.50,Statement  Minutes
84,2 Nov 2016,0.00,1.50,Statement  Minutes
85,5 Oct 2016,0.00,1.50,Statement  Minutes
86,7 Sep 2016,0.00,1.50,Statement  Minutes
87,3 Aug 2016,-0.25,1.50,Statement  Minutes
88,6 Jul 2016,0.00,1.75,Statement  Minutes
89,8 Jun 2016,0.00,1.75,Statement  Minutes
90,4 May 2016,-0.25,1.75,Statement  Minutes
91,6 Apr 2016,0.00,2.00,Statement  Minutes
92,2 Mar 2016,0.00,2.00,Statement  Minutes
93,3 Feb 2016,0.00,2.00,Statement  Minutes
94,2 Dec 2015,0.00,2.00,Statement  Minutes
95,4 Nov 2015,0.00,2.00,Statement  Minutes
96,7 Oct 2015,0.00,2.00,Statement  Minutes
97,2 Sep 2015,0.00,2.00,Statement  Minutes
98,5 Aug 2015,0.00,2.00,Statement  Minutes
99,8 Jul 2015,0.00,2.00,Statement  Minutes
100,3 Jun 2015,0.00,2.00,Statement  Minutes
101,6 May 2015,-0.25,2.00,Statement  Minutes
